Metacritic,Recomendaciones,Propietarios,Jugadores,Precio
88,3981,1230518,572125,9.99
79,970,298796,217910,19.99
0,0,25826,4125,9.99
91,343,108865,101153,19.99
69,589,162491,65642,9.99
86,570,437792,110479,9.99
86,5145,839535,601359,19.99
78,828,211453,149757,9.99
78,930,357085,152268,9.99
67,186,357085,83398,0.0
73,1096,477429,226160,9.99
77,1800,485320,279606,9.99
74,2278,464515,360672,9.99
29,364,87523,34435,4.99
70,2880,656778,583066,7.99
70,2880,656778,583066,7.99
70,2880,656778,583066,7.99
84,41001,4637980,4076078,9.99
84,41001,4637980,4076078,9.99
64,722,408917,137920,9.99
63,536,480657,132539,9.99
64,213,297362,39457,9.99
73,0,34076,13631,9.99
69,617,66359,54702,9.99
76,34196,4355863,3353658,14.99
70,1363,718474,389009,19.99
78,1145,180964,150654,9.99
87,14553,1846583,1737539,19.99
0,2422,105278,98104,29.99
0,306,167692,55778,9.99
75,162,60261,35511,9.99
35,0,3766,3228,4.99
79,546,119447,77479,9.99
0,0,12196,4663,6.99
65,314,61338,51832,0.99
0,200,84115,28696,4.99
0,177,48604,26723,4.99
0,554,107968,72637,9.99
66,2723,764567,369819,9.99
68,104,47886,31207,4.99
79,0,0,0,19.99
0,4115,378786,273687,1.99
66,288,73533,33718,9.99
79,310,216296,130746,19.99
0,0,216116,73533,0.0
0,0,216116,61338,0.0
0,0,216116,58468,0.0
0,0,216116,53087,0.0
70,1148,534462,155675,4.99
74,1619,572305,232616,19.99
30,0,1255,717,19.99
59,305,157648,62055,0.0
70,0,9685,3408,6.99
77,0,11837,5380,6.99
85,0,13810,6995,6.99
81,0,11837,4842,6.99
0,0,14348,6636,6.99
79,0,11837,4842,6.99
0,0,10044,2511,6.99
0,0,11658,5201,6.99
68,0,11478,4663,6.99
81,0,14707,7353,6.99
69,0,12016,4484,6.99
73,0,12196,5201,6.99
78,0,11120,4304,6.99
0,0,34435,14527,9.99
0,112,44837,28158,9.99
0,0,114784,48066,5.99
78,132,47169,24930,19.99
0,219,132001,58827,5.99
71,320,738920,167692,5.99
86,1201,534641,405689,9.99
91,735,1095467,259519,5.99
0,392,837025,157828,2.99
0,1141,1205409,366053,5.99
46,280,473124,91827,19.99
65,2351,1137794,645300,19.99
77,1426,432950,309737,19.99
66,0,41430,16859,19.99
87,695,421292,201589,9.99
59,2061,1044353,384884,19.99
76,459,125724,86267,19.99
0,0,8788,3408,19.99
0,0,16859,8071,4.99
0,0,17397,9147,4.99
74,0,15603,7891,9.99
51,0,12734,4125,9.99
65,0,8071,1614,19.99
77,0,21522,8967,14.99
0,0,17038,9506,9.99
74,0,18114,10582,9.99
0,0,9147,4842,19.99
66,5499,1562135,927775,19.99
0,291,83577,29413,4.99
0,0,47348,18652,4.99
0,313,102050,40533,4.99
0,287,121599,44299,4.99
0,209,121958,43223,9.99
83,1329,583604,425776,19.99
86,8656,1222267,908585,19.99
75,540,224187,85729,9.99
72,0,10761,5201,9.99
51,742,187600,154599,9.99
80,2186,221676,179170,19.99
76,1667,454472,390623,14.99
0,0,8788,2152,9.99
0,290,269921,63131,5.99
82,207,148322,42685,5.99
0,152,21163,13631,5.99
77,1928,1165234,972972,12.99
77,1928,1165234,972972,12.99
73,15312,4131318,3661780,19.99
0,114,20446,10402,9.99
63,141,20805,9864,12.99
72,2593,481195,257905,14.99
72,2593,481195,257905,14.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,4.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
0,0,0,0,2.99
73,233,85012,17935,9.99
62,0,26902,5739,4.99
0,0,22419,6815,2.99
55,2105,984988,798464,7.99
52,3682,843302,677224,19.99
61,195,67256,19370,9.99
74,711,363721,139534,9.99
91,13356,2817761,1732696,19.99
82,1991,976738,405868,9.99
91,13356,2817761,1732696,19.99
51,102,23853,7174,9.99
76,20235,2752478,1772871,19.99
68,674,297362,165898,9.99
0,0,24750,12554,9.99
80,6891,1533260,1115734,14.99
84,12617,2645586,1809458,19.99
84,12617,2645586,1809458,19.99
0,261,83039,56854,4.99
0,0,0,0,6.99
69,821,425238,92903,0.0
0,0,897,535,9.99
0,0,1076,717,9.99
61,114,15783,10402,9.99
0,0,37663,11837,9.99
0,0,5919,1793,14.99
71,0,6277,3049,9.99
0,0,3946,1435,14.99
84,527,449450,90033,4.99
84,527,449450,90033,4.99
0,709,119626,59544,2.99
51,149,15245,14707,19.99
65,7073,10489261,1870437,9.99
95,73144,0,0,19.99
75,386,219883,10761,9.99
75,386,219883,44658,9.99
72,2777,966336,190649,9.99
80,7874,0,0,9.99
67,1233,0,0,9.99
79,8174,0,0,9.99
86,22245,5137828,4514588,19.99
84,1131,847606,210377,19.99
77,419,0,0,14.99
88,3985,1230338,167154,9.99
88,3985,1230338,124827,9.99
70,2881,0,0,7.99
70,2881,0,0,7.99
84,41021,574636,507559,9.99
83,1328,0,0,19.99
77,1929,3194934,2638053,12.99
72,2593,0,0,14.99
91,13358,93620,87523,19.99
84,12620,0,0,19.99
84,529,449450,117833,4.99
0,131,14707,10402,9.99
0,108,18832,10761,9.99
83,0,20446,9326,9.99
0,0,21881,7174,19.99
74,1555,426493,219165,0.79
68,1844,835052,323547,0.0
0,8095,1137794,770306,0.0
